course_id,instructor_id,lecture_id
11,6ddac491-3bfa-420a-8098-f3c741f530b6,0
22,cff4ee54-8789-46e5-a995-15c0dea35275,1
2,cd3a4bbc-f36c-4e3d-9158-9a39dcff7644,2
16,6ddac491-3bfa-420a-8098-f3c741f530b6,3
21,449de61b-f2b5-406f-8445-17b960996d0a,4
20,57a87455-1a19-4d48-90c9-bd9040670f85,5
4,a12b297c-6ca7-436c-8318-08b5a05e1eea,6
1,ba2adea1-5399-4c45-9c94-9f26f726f62e,7
8,79463069-f838-4edd-9438-cdc4c95e75a2,8
16,8f8ceb3d-7d6a-46cb-8d24-03c5cee108c1,9
17,bf20d0e5-4b79-481a-92d6-3b159ce4d4a0,10
20,61b6a185-51b2-47f0-bfa2-7c6615e9e145,11
10,d372a3ee-4ff5-48df-a5f2-7da725570f5e,12
1,ed65e55c-cdd7-4672-bfd0-37b3a5afd703,13
15,bf20d0e5-4b79-481a-92d6-3b159ce4d4a0,14
14,b53f72f1-d162-4f47-a6af-c538db450833,15
1,fe8c95dc-f314-472c-a317-83d7bb76fbc9,16
18,61b6a185-51b2-47f0-bfa2-7c6615e9e145,17
3,7fa4b44f-6167-4bfe-b42b-5494a85f17c0,18
15,55a493f1-a88a-4fe2-b666-b93388223926,19
19,aec9a7a7-c8be-461b-8047-f0c97726edf1,20
18,fe8c95dc-f314-472c-a317-83d7bb76fbc9,21
6,c3c774e8-72c0-43bf-8075-97856dc04866,22
9,59424c88-808c-4285-b95a-607928e016a1,23
15,2086fb93-7036-4127-b46f-14b11794fd56,24
3,8eb8ab26-579c-4927-8866-9f0cfb37824a,25
2,ba2adea1-5399-4c45-9c94-9f26f726f62e,26
19,61b6a185-51b2-47f0-bfa2-7c6615e9e145,27
12,a12b297c-6ca7-436c-8318-08b5a05e1eea,28
22,21f1397e-1a61-401a-bc67-1e74523bf8d8,29
18,ba2adea1-5399-4c45-9c94-9f26f726f62e,30
2,a12b297c-6ca7-436c-8318-08b5a05e1eea,31
12,6ddac491-3bfa-420a-8098-f3c741f530b6,32
6,fc70f172-e0d8-4202-a83b-a8d6cc75de10,33
19,1a544d73-a68c-4d6c-8d83-98d999716ab5,34
16,61b6a185-51b2-47f0-bfa2-7c6615e9e145,35
10,72d8246e-bd38-49b2-88c7-96f11c51f1fb,36
7,cff4ee54-8789-46e5-a995-15c0dea35275,37
1,aec9a7a7-c8be-461b-8047-f0c97726edf1,38
3,c0969d1b-26f7-4e83-9b27-3a4a0551f760,39
4,0fc1c0b7-84d2-4abf-91e6-e4a36a1436be,40
6,d3f82f56-4d74-4c26-a4c7-d20f153383cb,41
13,6ddac491-3bfa-420a-8098-f3c741f530b6,42
2,61b6a185-51b2-47f0-bfa2-7c6615e9e145,43
16,12fa2bc8-2060-41f1-a8ce-0ad8dc7c31e6,44
14,aec9a7a7-c8be-461b-8047-f0c97726edf1,45
18,309c4ad8-2776-4955-b1b5-8ab5409090ad,46
18,cd3a4bbc-f36c-4e3d-9158-9a39dcff7644,47
21,7ceb34df-c5cd-4a6d-bbbd-ba393535b9d2,48
12,0fc1c0b7-84d2-4abf-91e6-e4a36a1436be,49
14,8f8ceb3d-7d6a-46cb-8d24-03c5cee108c1,50
22,5922b91c-31eb-443e-b15f-acbae8cf8831,51
3,cab58cac-d2f7-4d2b-bf0b-a391c1d0cb22,52
15,7ceb34df-c5cd-4a6d-bbbd-ba393535b9d2,53
17,295c30fe-615a-4769-bade-21c7e3e975a9,54
14,c3c774e8-72c0-43bf-8075-97856dc04866,55
19,59424c88-808c-4285-b95a-607928e016a1,56
11,cd3a4bbc-f36c-4e3d-9158-9a39dcff7644,57
10,fc70f172-e0d8-4202-a83b-a8d6cc75de10,58
13,7ceb34df-c5cd-4a6d-bbbd-ba393535b9d2,59
14,d7e101e3-1c37-4827-872a-2a9e7994aaab,60
7,12fa2bc8-2060-41f1-a8ce-0ad8dc7c31e6,61
4,bf20d0e5-4b79-481a-92d6-3b159ce4d4a0,62
14,e4c1ffc2-23bf-4bbc-958a-758263a0dd67,63
3,21f1397e-1a61-401a-bc67-1e74523bf8d8,64
13,ba2adea1-5399-4c45-9c94-9f26f726f62e,65
9,fe8c95dc-f314-472c-a317-83d7bb76fbc9,66
7,295c30fe-615a-4769-bade-21c7e3e975a9,67
19,c0969d1b-26f7-4e83-9b27-3a4a0551f760,68
14,fc70f172-e0d8-4202-a83b-a8d6cc75de10,69
18,7fa4b44f-6167-4bfe-b42b-5494a85f17c0,70
1,8f8ceb3d-7d6a-46cb-8d24-03c5cee108c1,71
22,7fa4b44f-6167-4bfe-b42b-5494a85f17c0,72
20,55a493f1-a88a-4fe2-b666-b93388223926,73
16,57a87455-1a19-4d48-90c9-bd9040670f85,74
21,c3453dc3-772c-4d3b-b535-e058788237ed,75
20,e09c188d-aea7-4cf2-9bb6-6eed739db033,76
4,cd3a4bbc-f36c-4e3d-9158-9a39dcff7644,77
6,2f638a13-eb24-4d61-ad54-7aaf0b822823,78
10,0be1929c-a780-4078-9e98-6df4cf99c936,79
3,fc70f172-e0d8-4202-a83b-a8d6cc75de10,80
1,a12b297c-6ca7-436c-8318-08b5a05e1eea,81
5,cd3a4bbc-f36c-4e3d-9158-9a39dcff7644,82
6,12fa2bc8-2060-41f1-a8ce-0ad8dc7c31e6,83
13,2086fb93-7036-4127-b46f-14b11794fd56,84
7,57a87455-1a19-4d48-90c9-bd9040670f85,85
21,0fc1c0b7-84d2-4abf-91e6-e4a36a1436be,86
12,d4fba2d9-c269-4d11-82f8-e94787f74bc1,87
21,80dad91e-02f0-4182-ae63-9bfe710a66b9,88
11,e4c1ffc2-23bf-4bbc-958a-758263a0dd67,89
13,cab58cac-d2f7-4d2b-bf0b-a391c1d0cb22,90
8,21f1397e-1a61-401a-bc67-1e74523bf8d8,91
17,309c4ad8-2776-4955-b1b5-8ab5409090ad,92
2,b53f72f1-d162-4f47-a6af-c538db450833,93
8,d4fba2d9-c269-4d11-82f8-e94787f74bc1,94
6,cab58cac-d2f7-4d2b-bf0b-a391c1d0cb22,95
3,8913dd3b-624d-4610-837e-ca0063075e6b,96
18,c3c774e8-72c0-43bf-8075-97856dc04866,97
9,b53f72f1-d162-4f47-a6af-c538db450833,98
15,c0969d1b-26f7-4e83-9b27-3a4a0551f760,99
14,449de61b-f2b5-406f-8445-17b960996d0a,100
11,b53f72f1-d162-4f47-a6af-c538db450833,101
3,bf20d0e5-4b79-481a-92d6-3b159ce4d4a0,102
12,309c4ad8-2776-4955-b1b5-8ab5409090ad,103
21,fe8c95dc-f314-472c-a317-83d7bb76fbc9,104
10,d3f82f56-4d74-4c26-a4c7-d20f153383cb,105
20,7ceb34df-c5cd-4a6d-bbbd-ba393535b9d2,106
12,8eb8ab26-579c-4927-8866-9f0cfb37824a,107
9,ba2adea1-5399-4c45-9c94-9f26f726f62e,108
4,e09c188d-aea7-4cf2-9bb6-6eed739db033,109
15,79463069-f838-4edd-9438-cdc4c95e75a2,110
12,c3c774e8-72c0-43bf-8075-97856dc04866,111
19,79463069-f838-4edd-9438-cdc4c95e75a2,112
13,cff4ee54-8789-46e5-a995-15c0dea35275,113
19,295c30fe-615a-4769-bade-21c7e3e975a9,114
16,7ceb34df-c5cd-4a6d-bbbd-ba393535b9d2,115
22,ed65e55c-cdd7-4672-bfd0-37b3a5afd703,116
11,e1cf4dad-91e9-442f-857c-910eccf92228,117
18,b53f72f1-d162-4f47-a6af-c538db450833,118
20,6ddac491-3bfa-420a-8098-f3c741f530b6,119
15,2d1f121d-f3ba-48f9-aff2-b38da7db30cf,120
11,449de61b-f2b5-406f-8445-17b960996d0a,121
10,79463069-f838-4edd-9438-cdc4c95e75a2,122
19,5922b91c-31eb-443e-b15f-acbae8cf8831,123
1,d7e101e3-1c37-4827-872a-2a9e7994aaab,124
12,7fa4b44f-6167-4bfe-b42b-5494a85f17c0,125
1,79463069-f838-4edd-9438-cdc4c95e75a2,126
17,0fc1c0b7-84d2-4abf-91e6-e4a36a1436be,127
8,8f8ceb3d-7d6a-46cb-8d24-03c5cee108c1,128
5,c3453dc3-772c-4d3b-b535-e058788237ed,129
14,2d1f121d-f3ba-48f9-aff2-b38da7db30cf,130
7,61b6a185-51b2-47f0-bfa2-7c6615e9e145,131
3,d4fba2d9-c269-4d11-82f8-e94787f74bc1,132
1,cab58cac-d2f7-4d2b-bf0b-a391c1d0cb22,133
15,61b6a185-51b2-47f0-bfa2-7c6615e9e145,134
12,d8e46018-304b-49b7-bb5b-d128007be5bd,135
13,72d8246e-bd38-49b2-88c7-96f11c51f1fb,136
22,57a87455-1a19-4d48-90c9-bd9040670f85,137
7,2d1f121d-f3ba-48f9-aff2-b38da7db30cf,138
8,c0969d1b-26f7-4e83-9b27-3a4a0551f760,139
